[LOG] 659 records @25Hz  t_ms,alt,zt,vz,thr,tof,vbat,m1,m2,m3,m4,flags,ce,fx,fy
7840,0,-999,-9,30384,231,326,35985,29801,29051,26699,1,699,-9,-53
7880,0,-999,-9,30371,231,326,34504,34872,31716,20392,1,699,-9,-52
7920,0,-999,-9,30344,231,326,35479,34617,29703,21577,1,699,-9,-52
7960,0,-999,-10,30321,231,326,31168,25190,33566,31360,1,699,-9,-55
8000,0,-999,-10,30302,231,326,32868,31950,35184,21206,1,699,-11,-60
8040,0,-999,-10,30289,231,326,28721,24721,33671,34043,1,699,-12,-65
8080,0,-999,-11,30281,231,326,30146,29166,34804,27008,1,699,-14,-72
8120,0,-999,-11,30282,231,326,29801,24059,35755,31513,1,699,-16,-82
8160,0,-999,-11,30287,231,326,30027,30645,35551,24925,1,699,-16,-92
8200,0,-999,-11,30274,231,326,24033,18249,39509,39305,1,699,-17,-103
8240,1,-999,-11,30264,231,326,32787,30225,35831,22213,1,699,-18,-111
8280,1,-999,-10,30260,231,326,35502,33840,30852,20846,1,699,-18,-112
8320,1,-999,-10,30252,231,326,25003,17459,40633,37913,1,699,-18,-112
8360,1,-999,-10,30248,231,326,36682,34500,32220,17590,1,699,-18,-112
8380,1,-999,-10,30256,231,326,24742,21374,40488,34420,1,699,-18,-112
8420,2,-999,-10,30259,231,326,26601,24263,37037,33135,1,699,-18,-112
8460,2,-999,-10,30260,231,326,28571,25841,39139,27489,1,699,-18,-112
8500,2,-999,-10,30257,231,326,31870,27000,30758,31400,1,699,-18,-112
8540,2,-999,-10,30258,231,326,30884,33972,36480,19696,1,699,-18,-112
8580,2,-999,-11,30264,231,326,24527,20311,38727,37491,1,699,-18,-112
8620,2,-999,-10,30264,231,326,34387,30331,32597,23741,1,699,-18,-112
8660,3,-999,-10,30261,231,326,26080,23828,39418,31718,1,699,-18,-112
8700,3,-999,-10,30266,231,326,29144,31038,33358,27524,1,699,-18,-113
8740,3,-999,-9,30265,231,326,26698,22568,37272,34522,1,699,-18,-113
8780,3,-999,-9,30291,231,326,41516,40956,24780,13912,1,699,-18,-114
8820,4,-999,-9,30292,231,326,25933,21197,35721,38317,1,702,-18,-114
8860,4,-999,-8,30299,231,326,32735,28117,35255,25089,1,708,-18,-114
8900,5,-999,-8,30279,231,326,29718,27934,31712,31752,1,710,-18,-115
8940,6,-999,-7,30260,231,325,33229,32991,31785,23035,1,710,-18,-115
8980,6,-999,-7,30282,231,325,21529,17411,42341,39847,1,710,-18,-115
9020,7,-999,-7,30303,231,325,30966,27034,32118,31094,1,710,-18,-115
9060,7,-999,-7,30310,231,325,31223,31359,30995,27663,1,710,-18,-115
9100,7,-999,-6,30321,231,325,24871,17511,40189,38713,1,710,-18,-115
9140,8,-999,-6,30319,231,325,38111,38507,25695,18963,1,710,-18,-115
9180,8,-999,-6,30345,231,325,27169,22793,37111,34307,1,710,-18,-115
9200,8,-999,-6,30338,231,325,37713,35139,29581,18919,1,710,-18,-115
9240,8,-999,-6,30335,231,325,26491,26503,35393,32953,1,710,-17,-112
9280,8,-999,-6,30335,231,325,30234,30516,32854,27736,1,710,-18,-109
9320,8,-999,-6,30351,231,325,26869,24485,36095,33955,1,710,-18,-109
9360,8,-999,-7,30357,231,325,29919,25359,34365,31785,1,710,-19,-115
9400,8,-999,-7,30369,231,325,25895,24763,37705,33113,1,710,-20,-121
9440,8,-999,-8,30360,231,325,27990,26344,35642,31464,1,710,-21,-126
9480,7,-999,-8,30356,231,325,34755,34027,30063,22579,1,710,-21,-128
9520,7,-999,-9,30355,231,325,22898,17700,39512,41310,1,710,-22,-130
9560,7,-999,-9,30359,231,325,26700,25022,36880,32834,1,710,-23,-132
9600,6,-999,-9,30356,231,325,23457,24907,37007,36053,1,710,-23,-133
9640,6,-999,-9,30355,231,325,36150,33152,26902,25216,1,710,-23,-134
9680,5,-999,-9,30353,231,325,28967,31847,33719,26879,1,710,-24,-134
9720,5,-999,-9,30365,231,325,30378,26440,31690,32952,1,710,-24,-134
9760,5,-999,-9,30364,231,325,26711,27813,34619,32313,1,710,-24,-135
9800,4,-999,-10,30367,231,325,35071,32679,29641,24077,1,710,-24,-135
9840,4,-999,-9,30369,231,325,31422,31434,29958,28662,1,710,-24,-135
9880,4,-999,-9,30357,231,325,25826,24608,37648,33346,1,710,-24,-134
9920,3,-999,-10,30370,231,325,27314,26068,35448,32650,1,710,-24,-133
9960,3,-999,-9,30373,231,324,30259,29147,32289,29797,1,710,-25,-132
10000,3,-999,-9,30378,231,324,25263,21817,38901,35531,1,710,-25,-129
10020,3,-999,-9,30358,231,324,35561,34581,30191,21099,1,710,-25,-126
10060,3,-999,-8,30333,231,324,35610,34940,27138,23644,1,710,-25,-122
10100,3,-999,-8,30313,231,324,24470,20148,39234,37400,1,710,-25,-119
10140,2,-999,-7,30311,231,324,37182,32238,31192,20632,1,710,-25,-119
10180,2,-999,-7,30292,231,324,28947,26943,33787,31491,1,710,-25,-116
10220,2,-999,-7,30278,231,324,28202,26070,36910,29930,1,710,-25,-112
10260,2,-999,-7,30249,231,324,28911,26425,33809,31851,1,710,-26,-105
10300,2,-999,-7,30230,231,324,26042,24698,37294,32886,1,710,-26,-100
10340,2,-999,-7,30220,231,324,28140,22614,38584,31542,1,710,-27,-95
10380,2,-999,-7,30218,231,324,27331,20683,38259,34599,1,710,-26,-90
10420,2,-999,-8,30210,231,324,28259,25049,37029,30503,1,710,-26,-85
10460,2,-999,-8,30193,231,324,21688,19498,40810,38776,1,710,-25,-80
10500,2,-999,-8,30207,231,324,41386,31858,27494,20090,1,710,-24,-77
10540,1,-999,-8,30212,231,324,28416,28324,34404,29704,1,710,-23,-74
10580,1,-999,-9,30201,231,324,30619,27477,32905,29803,1,710,-22,-72
10620,1,-999,-10,30202,231,324,25515,27111,38789,29393,1,710,-22,-71
10660,1,-999,-10,30210,231,323,36026,29298,32178,23338,1,710,-22,-71
10700,0,-999,-10,30205,231,323,25133,22803,37931,34953,1,710,-22,-70
10740,0,-999,-10,30207,231,323,28223,28325,36039,28241,1,710,-22,-70
10780,0,-999,-10,30207,231,323,27542,26486,34810,31990,1,710,-22,-70
10820,0,-999,-10,30209,231,323,37313,33653,29389,20481,1,710,-22,-70
10860,0,-999,-10,30201,231,323,35180,38478,28590,18556,1,710,-22,-70
10880,0,-999,-10,30211,231,323,32381,30177,29463,28823,1,710,-22,-71
10920,0,-999,-9,30214,231,323,28533,28469,36761,27093,1,710,-22,-71
10960,0,-999,-9,30214,231,323,35832,33502,27928,23594,1,710,-22,-71
11000,0,-999,-9,30214,231,323,29027,28671,31973,31185,1,710,-22,-69
11040,0,-999,-8,30219,231,323,25130,22076,39396,34274,1,710,-22,-69
11080,0,-999,-9,30224,231,323,22092,20864,39748,38192,1,710,-22,-70
11120,0,-999,-9,30232,231,323,31922,30876,32594,25536,1,710,-22,-70
11160,0,-999,-9,30222,231,323,27087,26353,36029,31419,1,710,-22,-69
11200,0,-999,-9,30207,231,323,32044,29000,31330,28454,1,710,-22,-70
11240,0,-999,-9,30209,231,323,31355,29489,33349,26643,1,710,-22,-69
11280,0,-999,-9,30195,231,323,26091,25035,36747,32907,1,710,-22,-69
11320,-1,-999,-9,30189,231,323,26343,24577,35613,34223,1,710,-22,-69
11360,-1,-999,-9,30194,231,323,31618,28350,34572,26236,1,710,-22,-68
11400,-1,-999,-9,30196,231,323,19574,16450,44292,40468,1,710,-22,-69
11440,-1,-999,-10,30202,231,323,32235,29035,31459,28079,1,710,-22,-69
11480,-1,-999,-11,30196,231,323,33420,30308,31916,25140,1,710,-22,-69
11520,-1,-999,-11,30193,231,323,35416,31194,30052,24110,1,710,-22,-69
11560,-2,-999,-11,30193,231,323,24741,21549,39821,34661,1,710,-22,-69
11600,-2,-999,-11,30195,231,323,32630,30072,30318,27760,1,710,-22,-69
11640,-2,-999,-11,30194,231,322,26879,27039,35881,30977,1,710,-22,-69
11680,-2,-999,-11,30184,231,322,30925,25541,32667,31603,1,710,-22,-68
11700,-2,-999,-11,30185,231,322,25210,26410,37152,31968,1,710,-22,-68
11740,-2,-999,-11,30200,231,322,29169,23207,34113,34311,1,710,-22,-67
11780,-2,-999,-11,30192,232,322,23541,19129,39645,38453,1,710,-22,-67
11820,-2,-999,-10,30189,232,322,20267,21271,39625,39593,1,710,-22,-67
11860,-2,-999,-9,30184,232,322,34300,32976,30442,23018,1,710,-22,-67
11900,-2,-999,-9,30185,232,322,26990,21120,36116,36514,1,710,-22,-67
11940,-2,-999,-8,30180,232,322,22782,22866,39716,35356,1,710,-22,-67
11980,-2,-999,-8,30170,232,322,32673,29253,31387,27367,1,710,-22,-67
12020,-1,-999,-8,30175,232,322,27976,32940,33292,26492,1,710,-22,-67
12060,-1,-999,-8,30182,232,322,28738,21688,33894,36408,1,710,-22,-67
12100,-1,-999,-7,30185,232,322,31541,31151,34723,23325,1,710,-22,-68
12140,0,-999,-8,30185,232,322,34755,29215,28117,28653,1,710,-22,-68
12180,0,-999,-8,30185,232,322,23369,22523,37163,37685,1,710,-22,-68
12220,0,-999,-7,30189,232,322,27167,25019,38887,29683,1,710,-22,-69
12260,1,-999,-7,30174,232,322,31473,25783,32679,30761,1,720,-22,-69
12300,1,-999,-7,30168,232,322,23335,28677,36345,32315,1,721,-22,-69
12340,2,-999,-7,30194,232,322,27722,21318,36532,35204,1,724,-22,-69
12380,2,-999,-7,30188,232,322,28086,31172,31870,29624,1,724,-22,-69
12420,2,-999,-7,30188,232,322,31832,29486,31010,28424,1,724,-22,-69
12460,3,-999,-7,30205,232,322,21175,27025,36349,36271,1,724,-22,-69
12500,3,-999,-8,30194,232,322,26148,22156,36934,35538,1,724,-22,-67
12520,4,-999,-7,30199,232,322,35663,29711,30911,24511,1,724,-22,-66
12560,4,-999,-7,30197,232,322,31571,33125,30079,26013,1,724,-22,-66
12600,4,-999,-7,30205,232,322,26873,24507,33603,35837,1,724,-22,-67
12640,4,-999,-7,30202,232,322,32054,37634,31278,19842,1,724,-22,-65
12680,5,-999,-7,30193,232,322,28791,27863,32669,31449,1,724,-23,-65
12720,5,-999,-7,30186,232,322,30196,28838,30302,31408,1,724,-23,-65
12760,5,-999,-7,30186,232,322,25422,28164,35432,31726,1,724,-23,-65
12800,6,-999,-7,30194,232,322,28699,27945,31991,32141,1,724,-24,-64
12840,6,-999,-7,30190,232,322,25166,24168,35562,35864,1,724,-24,-63
12880,6,-999,-7,30194,232,322,26670,25760,33164,35182,1,724,-24,-62
12920,6,-999,-7,30190,232,322,23756,24940,34300,37764,1,724,-24,-62
12960,6,-999,-7,30192,232,322,35664,38148,26930,20026,1,724,-24,-61
13000,6,-999,-7,30197,232,322,32023,33915,27045,27805,1,724,-24,-60
13040,7,-999,-7,30195,232,322,25478,25630,36424,33248,1,724,-24,-60
13080,7,-999,-7,30204,232,322,28133,30311,31651,30721,1,724,-24,-62
13120,7,-999,-6,30208,232,322,34694,31268,30504,24366,1,724,-24,-61
13160,7,-999,-6,30201,232,322,29907,30249,30581,30067,1,724,-24,-61
13200,7,-999,-6,30197,232,322,26130,21880,35662,37116,1,724,-24,-61
13240,7,-999,-6,30191,232,322,32766,28222,31348,28428,1,724,-24,-61
13280,7,-999,-6,30195,232,322,27703,27377,32555,33145,1,724,-24,-61
